Rank,Name,Platform,release_date,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,controller_support,new_rating,new_rating_source
4678,The Fairly Odd Parents: Shadow Showdown,ps2,2004,Platform,THQ,0.17,0.13,0,0.04,0.35,,3,PEGI
4679,SpongeBob SquarePants: The Yellow Avenger,ds,2005,Action,THQ,0.32,0,0,0.02,0.35,,7,PEGI
4680,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,gba,2003,Action,THQ,0.25,0.09,0,0.01,0.35,,3,manual
4681,Resident Evil: Dead Aim,ps2,2003,Action,Capcom,0.17,0.13,0,0.04,0.35,,,
4682,Guitar Hero: Metallica,ps2,2009,Misc,Activision,0.17,0.13,0,0.04,0.35,,12,PEGI
4683,Harry Potter and the Deathly Hallows - Part 2,wii,2011,Action,Electronic Arts,0.18,0.14,0,0.03,0.35,FALSE,12,PEGI
4684,Racquet Sports,ps3,2010,Sports,Ubisoft,0.11,0.17,0,0.06,0.35,,,
4685,Sniper: Ghost Warrior 2,ps3,2013,Shooter,City Interactive,0.05,0.19,0.03,0.07,0.35,,18,PEGI
4686,Jikkyou Powerful Pro Yakyuu 2000,n64,2000,Sports,Konami Digital Entertainment,0,0,0.29,0.06,0.35,,,RAWG (ESRB)
4687,Mega Man ZX Advent,ds,2007,Platform,Capcom,0.23,0,0.09,0.02,0.35,,12,PEGI
4688,Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),wii,,Action,,0.15,0.05,0.14,0.01,0.35,FALSE,,
4689,College Hoops 2K8,ps2,2007,Sports,Take-Two Interactive,0.17,0.13,0,0.04,0.35,,,
4690,Guilty Gear X2,ps2,2002,Fighting,Sammy Corporation,0.09,0.07,0.16,0.02,0.35,,,
4691,Hannah Montana: The Movie,wii,2009,Adventure,Disney Interactive Studios,0.13,0.18,0,0.04,0.35,FALSE,3,PEGI
4692,Street Fighter Alpha: Warriors' Dreams,sat,1996,Fighting,Capcom,0,0,0.35,0,0.35,,16,PEGI
4693,Lunar 2: Eternal Blue Complete,ps,1999,Role-Playing,Kadokawa Shoten,0.19,0.13,0,0.02,0.35,,12,ESRB
4694,EverGrace,ps2,2000,Role-Playing,Ubisoft,0.1,0.08,0.15,0.03,0.35,,,
4695,Rally Cross 2,ps,1998,Racing,989 Studios,0.19,0.13,0,0.02,0.35,,3,GiantBomb (ESRB)
4696,Jikkyou Powerful Pro Yakyuu 7,ps2,2000,Sports,Konami Digital Entertainment,0,0,0.35,0,0.35,,,
4697,Dig Dug,2600,1983,,,,,,,0.35,,3,pre-1994
4698,Metal Arms: Glitch in the System,ps2,2003,Shooter,Vivendi Games,0.17,0.13,0,0.04,0.35,,12,PEGI
4699,Hello Kitty Daily,ds,2008,Misc,Nobilis,0.32,0,0,0.03,0.35,,3,PEGI
4700,NFL Street,gc,2004,Sports,Electronic Arts,0.27,0.07,0,0.01,0.35,,3,PEGI
4701,Karaoke Revolution,ps2,2003,Misc,Konami Digital Entertainment,0.17,0.13,0,0.04,0.35,,,
4702,Aggressive Inline,ps2,2002,Sports,Acclaim Entertainment,0.17,0.13,0,0.04,0.35,,,
4703,The Tale of Despereaux,ps2,2008,Platform,Brash Entertainment,0.17,0.13,0,0.04,0.35,,,
4704,From TV Animation One Piece: Tobidase Kaizokudan!,ps,2001,Role-Playing,Namco Bandai Games,0,0,0.32,0.02,0.35,,,RAWG (ESRB)
4705,Tom Clancy's Rainbow Six: Lockdown,ps2,2005,Shooter,Ubisoft,0.17,0.13,0,0.04,0.35,,16,PEGI
4706,Enemy Territory: Quake Wars,ps3,2008,Shooter,Activision,0.23,0.07,0,0.04,0.35,,16,PEGI
4707,Yu-Gi-Oh! 5D's Tag Force 5,psp,2010,Strategy,Konami Digital Entertainment,0.13,0.05,0.14,0.03,0.35,,7,PEGI
4708,Angry Birds Star Wars,wii,2013,Strategy,Activision,0.21,0.1,0,0.03,0.35,FALSE,3,PEGI
4709,SimCity Creator,ds,2008,Simulation,Electronic Arts,0.3,0.03,0,0.03,0.35,,7,PEGI
4710,Disney Fairies: Tinker Bell and the Great Fairy Rescue,ds,2010,Adventure,Disney Interactive Studios,0.18,0.14,0,0.03,0.35,,,
4711,Nicktoons: Unite!,gc,2005,Adventure,THQ,0.27,0.07,0,0.01,0.35,,,
4712,Sentouchu: Densetsu no Shinobi to Survival Battle!,3ds,2013,Action,Namco Bandai Games,0,0,0.35,0,0.35,,,
4713,SpongeBob's Boating Bash,wii,2010,Misc,THQ,0.25,0.07,0,0.03,0.35,FALSE,3,PEGI
4714,Outlaw Golf 2,ps2,2004,Sports,Global Star,0.17,0.14,0,0.05,0.35,,16,PEGI
4715,Battalion Wars 2,wii,2007,Strategy,Nintendo,0.22,0.03,0.08,0.02,0.35,FALSE,12,PEGI
4716,Remember Me,ps3,2013,Action,Capcom,0.1,0.18,0,0.07,0.35,,16,PEGI
4717,Picross 2,gb,1996,Puzzle,Nintendo,0,0,0.35,0,0.35,,3,ESRB
4718,Suikoden V,ps2,2006,Role-Playing,Konami Digital Entertainment,0.08,0.06,0.19,0.02,0.35,,12,PEGI
4719,Cabela's Outdoor Adventures (2006),ps2,2005,Sports,Zoo Digital Publishing,0.17,0.14,0,0.05,0.35,,,
4720,Momotarou Dentetsu 12,ps2,2003,Misc,Hudson Soft,0,0,0.35,0,0.35,,,
4721,Backyard Baseball 2006,gba,2005,Sports,Atari,0.25,0.09,0,0.01,0.35,,3,manual
4722,Trauma Center: Second Opinion,wii,2006,Simulation,Nintendo,0.28,0.02,0.03,0.03,0.35,FALSE,12,PEGI
4723,Blasto,ps,1998,Action,Sony Computer Entertainment,0.2,0.13,0,0.02,0.35,,13,GiantBomb (ESRB)
4724,SOCOM: Tactical Strike,psp,2007,Shooter,Sony Computer Entertainment,0.32,0.01,0,0.03,0.35,,,
4725,CSI: Deadly Intent - The Hidden Cases,ds,2009,Adventure,Ubisoft,0.16,0.16,0,0.04,0.35,,,
4726,Bomberman Max: Red Challenger,gbc,2000,,,,,,,0.35,,3,ESRB
4727,Vancouver 2010 - The Official Video Game of the Olympic Winter Games,ps3,2010,Sports,Sega,0.09,0.2,0,0.07,0.35,,,
4728,Mini Ninjas,ps3,2009,Action,Eidos Interactive,0.14,0.16,0,0.06,0.35,,7,PEGI
4729,Def Jam Rapstar,wii,2010,Misc,Konami Digital Entertainment,0.31,0.02,0,0.02,0.35,FALSE,,
4730,Mini Ninjas,ds,2009,Action,Eidos Interactive,0.17,0.15,0,0.04,0.35,,7,PEGI
4731,Pac-Man All-Stars,ps3,2011,Fighting,Namco Bandai Games,0.2,0.08,0.04,0.04,0.35,,,
4732,One Piece: Gigant Battle 2 Shin Sekai,ds,2011,Fighting,Namco Bandai Games,0,0,0.35,0,0.35,,,
4733,Star Wars: Flight of the Falcon,gba,2003,Action,THQ,0.25,0.09,0,0.01,0.35,,7,PEGI
4734,Persona 2: Eternal Punishment,ps,2000,Role-Playing,Atlus,0.03,0.02,0.28,0.02,0.35,,,RAWG (ESRB)
4735,WWE Crush Hour,ps2,2003,Racing,THQ,0.17,0.13,0,0.04,0.35,,,
4736,Bloody Roar 3,ps2,2001,Fighting,Virgin Interactive,0.15,0.11,0.05,0.04,0.35,,,
4737,Stunt Race FX,snes,1993,Racing,Nintendo,0,0,0.35,0,0.35,,3,pre-1994
4738,Mega Man X3,snes,1995,Action,Laguna,0.04,0.01,0.3,0,0.35,,3,ESRB
4739,Star Fox: Zero,wiiu,2016,Shooter,Nintendo,0.16,0.1,0.07,0.03,0.35,,7,PEGI
4740,Fossil Fighters: Frontier,3ds,2014,Role-Playing,Nintendo,0.08,0.04,0.23,0.01,0.35,,7,PEGI
4741,Jikkyou Powerful Pro Yakyuu 13,ps2,2006,Sports,Konami Digital Entertainment,0,0,0.35,0,0.35,,,
4742,Cabela's Dangerous Hunts,xb,2003,Sports,Zoo Digital Publishing,0.26,0.08,0,0.01,0.35,,12,PEGI
4743,Disney's Tarzan: Return to the Jungle,gba,2002,Action,Activision,0.25,0.09,0,0.01,0.35,,3,manual
4744,Batman: Rise of Sin Tzu,ps2,2003,Action,Ubisoft,0.17,0.13,0,0.05,0.35,,3,PEGI
4745,Rugrats: Royal Ransom,ps2,2002,Platform,THQ,0.17,0.13,0,0.04,0.35,,,
4746,MLB 06: The Show,psp,2006,Sports,Sony Computer Entertainment,0.32,0,0,0.03,0.35,,,
4747,Charlie and the Chocolate Factory,ps2,2005,Adventure,Global Star,0.17,0.13,0,0.04,0.35,,7,PEGI
4748,Power Stone,mame,1999,,,,,,,0.35,,12,ESRB
4749,Pirates of the Caribbean: At World's End,ds,2007,Action,Disney Interactive Studios,0.3,0.01,0.01,0.03,0.35,,12,PEGI
4750,F1 Race Stars,ps3,2012,Racing,Codemasters,0.06,0.21,0,0.08,0.35,,3,PEGI
4751,Naruto Shippuden: Ultimate Ninja Impact,psp,2011,Fighting,Namco Bandai Games,0.09,0.07,0.15,0.04,0.35,,12,PEGI
4752,Over the Hedge,gc,2006,Platform,Activision,0.27,0.07,0,0.01,0.35,,3,PEGI
4753,My Baby Boy,ds,2008,Simulation,Nobilis,0.3,0.02,0,0.03,0.34,,,
4754,MVP 06 NCAA Baseball,xb,2006,Sports,Electronic Arts,0.25,0.07,0,0.01,0.34,,,
4755,Star Ocean: Second Evolution,psp,2008,Role-Playing,Square Enix,0.14,0.02,0.16,0.02,0.34,,12,PEGI
4756,Puzzle Quest: Challenge of the Warlords,ds,2007,Puzzle,D3Publisher,0.28,0.01,0.03,0.02,0.34,,3,PEGI
4757,Smart Girl's Party Game,ds,2008,Misc,505 Games,0.31,0,0,0.02,0.34,,,
4758,Bookworm,ds,2009,Puzzle,PopCap Games,0.31,0.01,0,0.02,0.34,,3,PEGI
4759,Point Blank,ps,1997,Shooter,Sony Computer Entertainment,0.05,0.03,0.23,0.02,0.34,,13,GiantBomb (ESRB)
4760,Momotarou Dentetsu DS: Tokyo & Japan,ds,2007,Misc,Hudson Soft,0,0,0.34,0,0.34,,,
4761,Football Manager Handheld 2008,psp,2007,Sports,Sega,0,0.34,0,0,0.34,,3,PEGI
4762,Harry Potter and the Deathly Hallows - Part 2,ps3,2011,Action,Electronic Arts,0.14,0.15,0,0.05,0.34,,12,PEGI
4763,Leisure Suit Larry: Magna Cum Laude,ps2,2004,Adventure,Vivendi Games,0.17,0.13,0,0.04,0.34,,18,PEGI
4764,Carnival,2600,1981,Shooter,Coleco,0.32,0.02,0,0,0.34,,3,pre-1994
4765,MX vs. ATV Untamed,wii,2008,Racing,THQ,0.29,0.03,0,0.03,0.34,TRUE,3,PEGI
4766,Backstreet Billiards,ps,1998,Misc,ASCII Entertainment,0.19,0.13,0,0.02,0.34,,,RAWG (ESRB)
4767,Tom Clancy's Ghost Recon: Shadow Wars,3ds,2011,Strategy,Ubisoft,0.22,0.09,0,0.03,0.34,,12,PEGI
4768,Harry Potter and the Half-Blood Prince,ps3,2009,Action,Electronic Arts,0.15,0.13,0,0.06,0.34,,12,PEGI
4769,Bank Heist,2600,1982,Action,20th Century Fox Video Games,0.32,0.02,0,0,0.34,,3,pre-1994
4770,Tiny Tank,ps,1998,Action,Sony Computer Entertainment,0.19,0.13,0,0.02,0.34,,13,GiantBomb (ESRB)
4771,Spy Hunter,xb,2002,Racing,Midway Games,0.25,0.07,0,0.01,0.34,,,
4772,Angry Birds Star Wars,3ds,2013,Strategy,Activision,0.15,0.15,0,0.03,0.34,,3,PEGI
4773,Imagine: Movie Star,ds,2008,Simulation,Ubisoft,0.31,0,0,0.02,0.34,,3,PEGI
4774,World Championship Poker 2: Featuring Howard Lederer,ps2,2005,Misc,Oxygen Interactive,0.16,0.13,0,0.04,0.34,,,
4775,Night at the Museum: Battle of the Smithsonian,ds,2009,Action,Majesco Entertainment,0.12,0.18,0,0.04,0.34,,,
4776,Delta Force: Black Hawk Down,xb,2005,Shooter,NovaLogic,0.25,0.07,0,0.01,0.34,,16,PEGI
4777,Avatar: The Last Airbender,ds,2006,Adventure,THQ,0.3,0.01,0,0.03,0.34,,,
4778,MXRider,ps2,2001,Racing,Atari,0.16,0.13,0,0.04,0.34,,,
4779,Fade to Black,ps,1996,Action,Electronic Arts,0.19,0.13,0,0.02,0.34,,13,GiantBomb (ESRB)
4780,Power Rangers Samurai,ds,2011,Action,Namco Bandai Games,0.27,0.04,0,0.02,0.34,,12,PEGI
4781,Dynasty Warriors: Gundam 2,ps2,2008,Action,Namco Bandai Games,0.04,0.03,0.25,0.01,0.34,,,
4782,Modnation Racers: Road Trip,psv,2012,Racing,Sony Computer Entertainment,0.17,0.12,0,0.05,0.34,,7,PEGI
4783,The Eye of Judgment,ps3,2007,Misc,Sony Computer Entertainment,0.28,0,0.02,0.03,0.34,,12,PEGI
4784,Buzz! The Ultimate Music Quiz,ps3,2010,Misc,Sony Computer Entertainment,0,0.25,0,0.08,0.34,,,
4785,Disney Sing It: Pop Hits,ps2,2009,Misc,Disney Interactive Studios,0.1,0.02,0,0.22,0.34,,,
4786,Pony Friends 2,ds,2009,Simulation,Eidos Interactive,0.21,0.1,0,0.03,0.34,,3,PEGI
4787,Teenage Mutant Ninja Turtles,gc,2003,Action,Konami Digital Entertainment,0.26,0.07,0,0.01,0.34,,,
4788,Night Warriors: Darkstalkers' Revenge,sat,1995,Fighting,Virgin Interactive,0,0,0.34,0,0.34,,12,ESRB
4789,Off Road Challenge,n64,1998,Racing,GT Interactive,0.27,0.06,0,0,0.34,,3,GiantBomb (ESRB)
4790,Fantastic Voyage,2600,1981,Action,20th Century Fox Video Games,0.32,0.02,0,0,0.34,,3,pre-1994
4791,Silent Hill HD Collection,ps3,2012,Action,Konami Digital Entertainment,0.15,0.11,0.03,0.05,0.34,,,
4792,Monster Rancher 4,ps2,2003,Simulation,Tecmo Koei,0.08,0.06,0.19,0.02,0.34,,,
4793,Freeway,2600,1980,Action,Activision,0.32,0.02,0,0,0.34,,3,pre-1994
4794,Avatar: The Last Airbender - The Burning Earth,ds,2007,Action,THQ,0.31,0,0,0.03,0.34,,,
4795,Classic NES Series: Ice Climber,gba,2004,Platform,Nintendo,0.1,0.04,0.2,0.01,0.34,,3,manual
4796,Conan,ps3,2007,Action,THQ,0.13,0.15,0,0.06,0.34,,18,PEGI
4797,Etrian Odyssey,ds,2007,Role-Playing,Nintendo,0.2,0.03,0.09,0.02,0.34,,12,PEGI
4798,WipEout 3,ps,1999,Racing,Psygnosis,0.19,0.13,0,0.02,0.34,,3,GiantBomb (ESRB)
4799,SoulCalibur,dc,1999,Fighting,Namco Bandai Games,0,0,0.34,0,0.34,,12,ESRB
4800,Dynasty Warriors 5 Empires,ps2,2006,Action,Tecmo Koei,0.11,0.09,0.12,0.03,0.34,,12,PEGI
4801,High School Musical 3: Senior Year DANCE!,ps2,2008,Misc,Disney Interactive Studios,0.17,0.13,0,0.04,0.34,,3,PEGI
4802,The Wild Thornberrys Movie,gba,2002,Platform,THQ,0.25,0.09,0,0.01,0.34,,3,manual
4803,LEGO Pirates of the Caribbean: The Video Game,psp,2011,Action,Disney Interactive Studios,0.11,0.15,0,0.08,0.34,,,
4804,SD Gundam G Generation World,psp,2011,Strategy,Namco Bandai Games,0,0,0.34,0,0.34,,,
4805,Risk / Battleship / Clue,gba,2005,Misc,Zoo Digital Publishing,0.25,0.09,0,0.01,0.34,,3,manual
4806,Style Lab: Jewelry Design,ds,2009,Simulation,Ubisoft,0.32,0,0,0.02,0.34,,,
4807,Kurushi Final: Mental Blocks,ps,1998,Puzzle,Sony Computer Entertainment,0,0,0.32,0.02,0.34,,,
4808,Herbie: Fully Loaded,gba,2005,Racing,Disney Interactive Studios,0.24,0.09,0,0.01,0.34,,3,PEGI
4809,Driver 2 Advance,gba,2002,Action,Atari,0.25,0.09,0,0.01,0.34,,3,manual
4810,Iron Man 2,ds,2010,Action,Sega,0.15,0.16,0,0.03,0.34,,12,PEGI
4811,Bee Movie Game,wii,2007,Action,Activision,0.31,0.01,0,0.03,0.34,FALSE,3,PEGI
4812,Chicken Riot,wii,2010,Action,City Interactive,0.15,0.16,0,0.03,0.34,FALSE,7,PEGI
4813,The Adventures of Tintin: The Game,wii,2011,Action,Ubisoft,0.13,0.17,0,0.04,0.34,FALSE,,
4814,The Urbz: Sims in the City,xb,2004,Simulation,Electronic Arts,0.22,0.11,0,0.01,0.34,,12,PEGI
4815,Dynasty Warriors 6 Empires,ps3,2009,Action,Tecmo Koei,0.14,0.03,0.15,0.02,0.34,,16,PEGI
4816,WWE Day of Reckoning 2,gc,2005,Fighting,THQ,0.26,0.07,0,0.01,0.34,,16,PEGI
4817,Power Rangers Samurai,wii,2011,Action,Namco Bandai Games,0.29,0.03,0,0.02,0.34,FALSE,12,PEGI
4818,Frostbite,2600,1983,Action,Activision,0.32,0.02,0,0,0.34,,3,pre-1994
4819,Alien's Return,2600,1982,Action,ITT Family Games,0.32,0.02,0,0,0.34,,3,pre-1994
4820,Thunderstrike: Operation Phoenix,ps2,2001,Simulation,Eidos Interactive,0.17,0.13,0,0.04,0.34,,,
4821,Hitman: Contracts,xb,2004,Shooter,Eidos Interactive,0.26,0.07,0,0.01,0.34,,16,PEGI
4822,Super Bust-A-Move,ps2,2000,Puzzle,Acclaim Entertainment,0.17,0.13,0,0.04,0.34,,,
4823,Marvel Super Heroes,ps,1997,Fighting,Virgin Interactive,0.19,0.13,0,0.02,0.34,,13,GiantBomb (ESRB)
4824,Radiant Historia,ds,2010,Role-Playing,Atlus,0.24,0,0.09,0.02,0.34,,,
4825,The Fairly Odd Parents: Shadow Showdown,gba,2004,Platform,THQ,0.25,0.09,0,0.01,0.34,,3,PEGI
4826,MotorStorm: Arctic Edge,ps2,2009,Racing,Sony Computer Entertainment,0.07,0.03,0,0.25,0.34,,12,PEGI
4827,Iron Storm,sat,1995,Shooter,Sega,0,0,0.34,0,0.34,,3,ESRB
4828,Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,ps2,2004,Adventure,Disney Interactive Studios,0.17,0.13,0,0.04,0.34,,,
4829,NHL 09,ps3,2008,Sports,Electronic Arts,0.29,0.02,0,0.03,0.34,,16,PEGI
4830,Streets of Rage 3,gen,1994,,,,,,,0.34,,7,ESRB
4831,Deus Ex: Invisible War,xb,2003,Shooter,Eidos Interactive,0.25,0.07,0,0.01,0.33,,16,PEGI
4832,Cabela's Dangerous Hunts 2011,ps3,2010,Sports,Activision,0.26,0.04,0,0.03,0.33,,16,PEGI
4833,DiRT 2,psp,2009,Racing,Sony Computer Entertainment,0.09,0.16,0,0.09,0.33,,,
4834,SSX Blur,wii,2007,Sports,Electronic Arts,0.29,0.01,0,0.03,0.33,FALSE,,
4835,NeoGeo Battle Coliseum,ps2,2005,Fighting,Ignition Entertainment,0.16,0.13,0,0.04,0.33,,,
4836,Disgaea: Hour of Darkness,ps2,2003,Role-Playing,Tecmo Koei,0.16,0.13,0,0.04,0.33,,,
4837,"Warhammer 40,000: Squad Command",psp,2007,Strategy,THQ,0.11,0.14,0,0.08,0.33,,12,PEGI
4838,Elebits,wii,2006,Action,Konami Digital Entertainment,0.22,0.01,0.08,0.02,0.33,FALSE,,
4839,Call Of Duty 2: Big Red One,gc,2005,Shooter,Activision,0.25,0.07,0,0.01,0.33,,16,PEGI
4840,Phineas and Ferb: Across the 2nd Dimension,ps3,2011,Action,Disney Interactive Studios,0.15,0.12,0,0.05,0.33,,7,PEGI
4841,Goosebumps HorrorLand,ds,2008,Adventure,Scholastic Inc.,0.31,0,0,0.02,0.33,,7,PEGI
4842,Battle Dodge Ball,snes,1991,Sports,Banpresto,0,0,0.33,0,0.33,,3,pre-1994
4843,Clock Tower 3,ps2,2002,Adventure,Capcom,0.1,0.08,0.12,0.03,0.33,,,
4844,Disgaea 2: Cursed Memories,ps2,2006,Role-Playing,Tecmo Koei,0.09,0.07,0.15,0.02,0.33,,,
4845,SpongeBob SquarePants: Creature from the Krusty Krab,gc,2006,Platform,THQ,0.25,0.07,0,0.01,0.33,,3,PEGI
4846,Pitfall 3D: Beyond the Jungle,ps,1998,Platform,Activision,0.18,0.12,0,0.02,0.33,,13,GiantBomb (ESRB)
4847,Hatsune Miku: Project Diva Extend,psp,2011,Misc,Sega,0,0,0.33,0,0.33,,,
4848,BattleTanx,n64,1998,Action,3DO,0.26,0.06,0,0,0.33,,13,GiantBomb (ESRB)
4849,Custom Robo,n64,,Role-Playing,Nintendo,0,0,0.29,0.04,0.33,,,RAWG (ESRB)
4850,FIFA Street 3,ps3,2008,Sports,Electronic Arts,0.08,0.18,0,0.06,0.33,,3,PEGI
4851,Way of the Samurai 2,ps2,2003,Action,Capcom,0.05,0.04,0.23,0.01,0.33,,16,PEGI
4852,GT Advance Championship Racing,gba,2001,Racing,THQ,0.24,0.09,0,0.01,0.33,,3,manual
4853,Fight Night Round 3,xb,2006,Fighting,Electronic Arts,0.26,0.06,0,0.01,0.33,,,
4854,Scooby-Doo! First Frights,ps2,2009,Action,Warner Bros. Interactive Entertainment,0.14,0.03,0,0.16,0.33,,7,PEGI
4855,Dragon Ball Z: Battle of Z,ps3,2014,Fighting,Namco Bandai Games,0.1,0.11,0.06,0.05,0.33,,12,PEGI
4856,Classic NES Series: Castlevania,gba,2004,Platform,Nintendo,0.17,0.06,0.09,0.01,0.33,,3,manual
4857,Cool Boarders 2001,ps2,2001,Sports,Sony Computer Entertainment,0.16,0.13,0,0.04,0.33,,,
4858,Vin Diesel: Wheelman,ps3,2009,Racing,Ubisoft,0.12,0.15,0,0.06,0.33,,,
4859,My Baby: First Steps,ds,2009,Simulation,SouthPeak Games,0.28,0.03,0,0.02,0.33,,,
4860,MLB 09: The Show,ps2,2009,Sports,Sony Computer Entertainment,0.16,0.13,0,0.04,0.33,,,
4861,MLB 08: The Show,psp,2008,Sports,Sony Computer Entertainment,0.3,0,0,0.02,0.33,,,
4862,Dead Rising 2: Off the Record,ps3,2011,Action,Capcom,0.11,0.08,0.1,0.03,0.33,,18,PEGI
4863,Teen Titans,gc,2006,Action,THQ,0.25,0.07,0,0.01,0.33,,7,PEGI
4864,Samurai Warriors 2: Xtreme Legends (JP sales),ps2,2007,Action,Tecmo Koei,0,0,0.33,0,0.33,,12,PEGI
4865,Dragon Ball Z: Extreme Butoden,3ds,2015,Fighting,Namco Bandai Games,0.12,0.03,0.16,0.02,0.33,,12,PEGI
4866,Folklore,ps3,2007,Role-Playing,Sony Computer Entertainment,0.2,0.05,0.05,0.03,0.33,,12,PEGI
4867,Clash of the Titans,ps3,2010,Action,Namco Bandai Games,0.09,0.16,0.01,0.06,0.33,,16,PEGI
4868,NBA Live 96,ps,1996,Sports,Electronic Arts,0.16,0.11,0.04,0.02,0.33,,,
4869,EA Playground,ds,2007,Sports,Electronic Arts,0.29,0.01,0,0.03,0.33,,3,PEGI
4870,DX Game of Life 2,ps,1997,Misc,Takara,0,0,0.31,0.02,0.33,,,
4871,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS 2 + Jouyou Kanji Jiten,ds,2007,Misc,Rocket Company,0,0,0.33,0,0.33,,,
4872,MVP Baseball 2005,gc,2005,Sports,Electronic Arts,0.25,0.07,0,0.01,0.33,,,
4873,MySims SkyHeroes,ds,2010,Action,Electronic Arts,0.22,0.08,0,0.03,0.33,,3,PEGI
4874,Despicable Me: The Game,wii,2010,Platform,D3Publisher,0.19,0.12,0,0.03,0.33,FALSE,,
4875,Kidou Senshi Gundam F91: Formula Senki 0122,snes,1991,Strategy,Namco Bandai Games,0,0,0.33,0,0.33,,3,pre-1994
4876,Naruto: Gekito Ninja Taisen! 4,gc,2005,Fighting,Tomy Corporation,0,0,0.32,0.01,0.33,,,
4877,Angry Birds Star Wars,ps3,2013,Strategy,Activision,0.1,0.17,0,0.06,0.33,,3,PEGI
4878,Power Rangers: Ninja Storm,gba,2003,Misc,THQ,0.24,0.09,0,0.01,0.33,,12,PEGI
4879,NCAA GameBreaker 2001,ps,2000,Sports,Sony Computer Entertainment,0.18,0.12,0,0.02,0.33,,,
4880,1001 Touch Games,ds,2011,Action,Avanquest,0.12,0.17,0,0.04,0.33,,,
4881,Sakura Wars 3: Paris wa Moeteiru ka,dc,2001,Adventure,Sega,0,0,0.33,0,0.33,,7,ESRB
4882,Spy Kids 3-D: Game Over,gba,2003,Platform,Disney Interactive Studios,0.24,0.09,0,0.01,0.33,,3,manual
4883,Parodius,ps,1994,Shooter,Konami Digital Entertainment,0,0,0.31,0.02,0.33,,3,pre-1994
4884,Madden NFL 09,ds,2008,Sports,Electronic Arts,0.3,0,0,0.03,0.33,,3,PEGI
4885,Etrian Odyssey III: The Drowned City,ds,2010,Role-Playing,Atlus,0.13,0,0.19,0.01,0.33,,,
4886,Banjo-Kazooie: Grunty's Revenge,gba,2003,Platform,THQ,0.24,0.09,0,0.01,0.33,,3,PEGI
4887,SingStar Take That,ps3,2009,Misc,Sony Computer Entertainment,0,0.3,0,0.03,0.33,,12,PEGI
4888,The Darkness II,ps3,2012,Shooter,Take-Two Interactive,0.14,0.14,0,0.05,0.33,,18,PEGI
4889,Ape Escape Academy,psp,2004,Misc,Sony Computer Entertainment,0.13,0.15,0,0.05,0.33,,,
4890,Iron Man 2,wii,2010,Action,Sega,0.15,0.15,0,0.03,0.33,FALSE,12,PEGI
4891,Wipeout 2,wii,2011,Misc,Activision,0.31,0,0,0.02,0.33,FALSE,,
4892,Tales of the World: Radiant Mythology 2,psp,2009,Role-Playing,Namco Bandai Games,0,0,0.33,0,0.33,,,
4893,Deathtrap Dungeon,ps,1998,Action,Eidos Interactive,0.19,0.13,0,0.02,0.33,,,
4894,Untold Legends: The Warriors Code,psp,2006,Role-Playing,Ubisoft,0.14,0.12,0,0.08,0.33,,,
4895,Street Fighter Alpha 3 MAX,psp,2006,Fighting,Capcom,0.27,0.01,0.02,0.03,0.33,,12,PEGI
4896,Digimon World: Dawn / Dusk,ds,2007,Role-Playing,Namco Bandai Games,0.14,0,0.18,0.01,0.33,,,
4897,The X-Factor,wii,2010,Misc,Deep Silver,0,0.29,0,0.04,0.33,FALSE,12,PEGI
4898,Bomberman World,ps,1998,Puzzle,Sony Computer Entertainment,0.06,0.04,0.22,0.02,0.33,,3,GiantBomb (ESRB)
4899,Beyond Good & Evil,ps2,2003,Adventure,Ubisoft,0.16,0.13,0,0.04,0.33,,7,PEGI
4900,Capcom Classics Collection Reloaded,psp,2006,Misc,Capcom,0.26,0,0.03,0.03,0.33,,12,PEGI
4901,Binary Domain,ps3,2012,Action,Sega,0.09,0.08,0.14,0.03,0.33,,18,PEGI
4902,Pandora's Tower,wii,2011,Role-Playing,Nintendo,0.13,0.1,0.08,0.03,0.33,TRUE,12,PEGI
4903,Tokyo Highway Battle,ps,1996,Racing,Jaleco,0.06,0.04,0.21,0.02,0.33,,,
4904,Transformers: Revenge of the Fallen (DS Versions),ds,2009,Action,Activision,0.17,0.13,0,0.03,0.33,,,
4905,Tom Clancy's Ghost Recon Advanced Warfighter,xb,2006,Shooter,Ubisoft,0.21,0.11,0,0.01,0.33,,16,PEGI
4906,Operation Flashpoint: Red River,ps3,2011,Shooter,Codemasters,0.06,0.15,0.07,0.05,0.33,,18,PEGI
4907,Sengoku Musou 3 Z,ps3,2011,Action,Ackkstudios,0,0,0.33,0,0.33,,,
4908,Tokyo Mirage Sessions ♯FE,wiiu,2015,,,,,,,0.33,,12,PEGI
4909,The Lost World: Jurassic Park,mame,1997,,,,,,,0.33,,12,ESRB
4910,Marvel vs. Capcom 2,dc,2000,,,,,,,0.33,,12,PEGI
4911,Marvel: Ultimate Alliance 2,wii,2009,Role-Playing,Activision,0.26,0.05,0,0.03,0.33,FALSE,12,PEGI
