Rank,Name,Platform,release_date,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,controller_support,name_norm,PEGI_Rating
13582,GrimGrimoire,ps2,2007,Strategy,Tecmo Koei,0.01,0.01,0.03,0,0.05,,grimgrimoire,
4796,Grind Session,ps,2000,Sports,Sony Computer Entertainment,0.24,0.17,0,0.03,0.44,,grind session,
11858,GripShift,psp,2005,Racing,Ubisoft,0.08,0,0,0.01,0.09,,gripshift,3
17440,Grisaia no Kajitsu: La Fruit de la Grisaia,psp,2013,Adventure,Prototype,0,0,0.01,0,0.01,,grisaia no kajitsu la fruit de la grisaia,
16204,Grisaia no Meikyuu: Le Labyrinthe de la Grisaia,psv,2014,Adventure,Prototype,0,0,0.02,0,0.02,,grisaia no meikyuu le labyrinthe de la grisaia,
15887,Grisaia no Rakuen: Le Eden de la Grisaia,psv,2014,Adventure,Prototype,0,0,0.02,0,0.02,,grisaia no rakuen le eden de la grisaia,
17773,Grooverider: Slot Car Thunder,gc,2003,Racing,Encore,0.01,0,0,0,0.01,,grooverider slot car thunder,
17549,Grooverider: Slot Car Thunder,xb,2003,Racing,Encore,0.01,0,0,0,0.01,,grooverider slot car thunder,
17869,Groovin' Blocks,wii,2009,Puzzle,Zoo Games,0.01,0,0,0,0.01,True,groovin blocks,3
18381,Ground Zero Texas,scd,1993,,,,,,,0.005,,ground zero texas,
19255,Ground Zero: Texas,scd,1993,,,,,,,0.002,,ground zero texas,
17027,Group S Challenge,xb,2003,Racing,Capcom,0.02,0,0,0,0.02,,group s challenge,3
14441,Growlanser,psp,2009,Role-Playing,Atlus,0,0,0.04,0,0.04,,growlanser,
10797,Growlanser Generations,ps2,2003,Role-Playing,Atlus,0.06,0.04,0,0.01,0.11,,growlanser generations,
13347,Growlanser IV: Over Reloaded,psp,2011,Role-Playing,Atlus,0,0,0.06,0,0.06,,growlanser 4 over reloaded,
13639,Growlanser VI: Precarious World,ps2,2007,Role-Playing,Atlus,0,0,0.05,0,0.05,,growlanser 6 precarious world,
7692,Growlanser: Heritage of War,ps2,2006,Role-Playing,Rising Star Games,0.11,0.08,0,0.03,0.22,,growlanser heritage of war,12
13977,Growlanser: Heritage of War (jp sales),ps2,2006,Role-Playing,Rising Star Games,0,0,0.05,0,0.05,,growlanser heritage of war,12
5145,Grudge Warriors,ps,1999,Action,Take-Two Interactive,0.23,0.16,0,0.03,0.41,,grudge warriors,
11426,Guacamelee! Super Turbo Championship Edition,wiiu,2014,,,,,,,0.1,,guacamelee super turbo championship edition,12
18749,Guardian,amigacd32,1994,,,,,,,0.003,,guardian,
6564,Guardian Heroes,sat,1995,Role-Playing,Sega,0,0,0.29,0,0.29,,guardian heroes,
8201,Guardian Heroes,sat,1996,,,,,,,0.2,,guardian heroes,
18116,Guardian War,3do,1994,,,,,,,0.008,,guardian war,
10427,Guardian's Crusade,ps,1998,Role-Playing,Activision,0.07,0.05,0,0.01,0.12,,guardian s crusade,
15024,Gudetama: Hanjuku de Tanomuwa,3ds,2015,Action,Rocket Company,0,0,0.03,0,0.03,,gudetama hanjuku de tanomuwa,
16855,Guess the Logos,xb,2004,Puzzle,Sega,0.02,0,0,0,0.02,,guess the logos,
13670,Guild 01,3ds,2012,Action,Level 5,0,0,0.05,0,0.05,,guild 01,
9623,Guilty Gear,ps,1998,Fighting,Virgin Interactive,0.03,0.02,0.07,0.01,0.14,,guilty gear,
13898,Guilty Gear Dust Strikers,ds,2006,Fighting,Majesco Entertainment,0.05,0,0,0,0.05,,guilty gear dust strikers,12
11162,Guilty Gear Isuka,ps2,2004,Fighting,505 Games,0.05,0.04,0,0.01,0.1,,guilty gear isuka,12
9115,Guilty Gear Judgment,psp,2006,Fighting,Majesco Entertainment,0.13,0,0.02,0.01,0.16,,guilty gear judgment,12
12424,Guilty Gear X,naomi,2000,,,,,,,0.071,,guilty gear x,
10406,Guilty Gear X,ps2,2001,Fighting,Sammy Corporation,0.06,0.05,0,0.02,0.12,,guilty gear x,
17233,Guilty Gear X Ver. 1.5,atomiswave,2003,,,,,,,0.012,,guilty gear x ver 1 5,
5714,Guilty Gear X2,ps2,2002,Fighting,Sammy Corporation,0.09,0.07,0.16,0.02,0.35,,guilty gear x2,
9397,Guilty Gear X2 #Reload,xb,2004,Fighting,Zoo Digital Publishing,0.11,0.03,0,0.01,0.15,,guilty gear x2 reload,12
13463,Guilty Gear X: Advance Edition,gba,2002,Fighting,Sammy Corporation,0.04,0.02,0,0,0.06,,guilty gear x advance edition,
14479,Guilty Gear XX Accent Core,ps2,2007,Fighting,Unknown,0,0,0.04,0,0.04,,guilty gear xx accent core,
14301,Guilty Gear XX Accent Core,wii,2007,Fighting,505 Games,0.03,0,0,0,0.04,True,guilty gear xx accent core,
13300,Guilty Gear XX Accent Core Plus,ps2,2008,Fighting,PQube,0.03,0.02,0,0.01,0.06,,guilty gear xx accent core plus,12
12256,Guilty Gear XX Accent Core Plus,psp,2008,Fighting,PQube,0.03,0.01,0.04,0.01,0.08,,guilty gear xx accent core plus,12
15750,Guilty Gear XX Accent Core Plus,wii,2009,Fighting,PQube,0.01,0.02,0,0,0.03,True,guilty gear xx accent core plus,12
12169,Guilty Gear XX Slash,ps2,2006,Fighting,Sammy Corporation,0,0,0.08,0,0.08,,guilty gear xx slash,
12570,Guilty Gear Xrd -Revelator-,ps3,2016,Fighting,PQube,0.01,0.02,0.02,0.01,0.07,,guilty gear xrd revelator,12
8682,Guilty Gear Xrd: Sign,ps3,2014,Fighting,Arc System Works,0.09,0,0.07,0.02,0.18,,guilty gear xrd sign,16
4131,Guinness World Records: The Videogame,ds,2008,Action,Warner Bros. Interactive Entertainment,0.47,0.01,0,0.04,0.52,,guinness world records the videogame,
2178,Guinness World Records: The Videogame,wii,2008,Action,Warner Bros. Interactive Entertainment,0.46,0.47,0,0.11,1.04,False,guinness world records the videogame,
7354,Guitar Freaks,ps,1999,Simulation,Konami Digital Entertainment,0,0,0.23,0.02,0.24,,guitar freaks,
16159,Guitar Freaks & DrumMania: Masterpiece Gold,ps2,2007,Simulation,Konami Digital Entertainment,0,0,0.02,0,0.02,,guitar freaks and drummania masterpiece gold,
13387,Guitar Freaks 3rdMIX & DrumMania 2ndMIX,ps2,2000,Simulation,Konami Digital Entertainment,0,0,0.06,0,0.06,,guitar freaks 3rdmix and drummania 2ndmix,
15109,Guitar Freaks V & DrumMania V,ps2,2006,Simulation,Konami Digital Entertainment,0,0,0.03,0,0.03,,guitar freaks v and drummania v,
16897,Guitar Freaks V2 & DrumMania V2,ps2,2006,Simulation,Konami Digital Entertainment,0,0,0.02,0,0.02,,guitar freaks v2 and drummania v2,
16166,Guitar Freaks V3 & DrumMania V3,ps2,2007,Simulation,Konami Digital Entertainment,0,0,0.02,0,0.02,,guitar freaks v3 and drummania v3,
765,Guitar Hero,ps2,2005,Misc,RedOctane,1.67,0.61,0.03,0.07,2.38,,guitar hero,12
2009,Guitar Hero 5,ps2,2009,Misc,Activision,0.28,0.3,0,0.54,1.12,,guitar hero 5,12
2043,Guitar Hero 5,ps3,2009,Misc,Activision,0.53,0.4,0,0.17,1.1,,guitar hero 5,12
1311,Guitar Hero 5,wii,2009,Misc,Activision,0.94,0.49,0,0.15,1.58,False,guitar hero 5,12
12460,Guitar Hero Arcade,mame,2009,,,,,,,0.07,,guitar hero arcade,
2016,Guitar Hero Encore: Rocks The 80s,ps2,2007,Misc,RedOctane,0.92,0.04,0,0.15,1.11,,guitar hero encore rocks the 80s,
248,Guitar Hero II,ps2,2006,Misc,RedOctane,3.81,0.63,0,0.68,5.12,,guitar hero 2,12
262,Guitar Hero III: Legends of Rock,ps2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98,,guitar hero 3 legends of rock,12
822,Guitar Hero III: Legends of Rock,ps3,2007,Misc,Activision,1.4,0.54,0.02,0.3,2.26,,guitar hero 3 legends of rock,12
288,Guitar Hero III: Legends of Rock,wii,2007,Misc,Activision,3.06,1.12,0,0.44,4.62,False,guitar hero 3 legends of rock,12
6689,Guitar Hero Live,ps3,2015,Misc,Activision,0.09,0.14,0,0.05,0.28,,guitar hero live,12
8539,Guitar Hero Live,wiiu,2015,Misc,Activision,0.12,0.04,0,0.02,0.18,,guitar hero live,12
5403,Guitar Hero On Tour: Modern Hits,ds,2009,Misc,Activision,0.13,0.2,0,0.04,0.38,,guitar hero on tour modern hits,3
2875,Guitar Hero: Aerosmith,ps2,2008,Misc,Activision,0.61,0,0,0.18,0.79,,guitar hero aerosmith,12
2310,Guitar Hero: Aerosmith,ps3,2008,Misc,Activision,0.73,0.15,0,0.11,0.99,,guitar hero aerosmith,12
1693,Guitar Hero: Aerosmith,wii,2008,Misc,Activision,1.04,0.14,0,0.1,1.29,False,guitar hero aerosmith,12
5705,Guitar Hero: Metallica,ps2,2009,Misc,Activision,0.17,0.13,0,0.04,0.35,,guitar hero metallica,12
3496,Guitar Hero: Metallica,ps3,2009,Misc,Activision,0.28,0.24,0,0.1,0.63,,guitar hero metallica,12
2408,Guitar Hero: Metallica,wii,2009,Misc,Activision,0.41,0.43,0,0.1,0.95,False,guitar hero metallica,12
458,Guitar Hero: On Tour,ds,2008,Misc,Activision,2.11,1.01,0.01,0.35,3.48,,guitar hero on tour,3
1319,Guitar Hero: On Tour Decades,ds,2008,Misc,Activision,0.85,0.58,0,0.16,1.58,,guitar hero on tour decades,3
7634,Guitar Hero: Smash Hits,ps2,2009,Misc,Activision,0.11,0.01,0,0.1,0.22,,guitar hero smash hits,
5648,Guitar Hero: Smash Hits,ps3,2009,Misc,Activision,0.2,0.11,0,0.05,0.36,,guitar hero smash hits,
3598,Guitar Hero: Smash Hits,wii,2009,Misc,Activision,0.33,0.21,0,0.06,0.61,False,guitar hero smash hits,
11311,Guitar Hero: Van Halen,ps2,2009,Misc,Activision,0.05,0.04,0,0.01,0.1,,guitar hero van halen,12
6639,Guitar Hero: Van Halen,ps3,2009,Misc,Activision,0.14,0.09,0,0.04,0.28,,guitar hero van halen,12
6508,Guitar Hero: Van Halen,wii,2009,Misc,Activision,0.14,0.12,0,0.03,0.29,False,guitar hero van halen,12
2758,Guitar Hero: Warriors of Rock,ps3,2010,Misc,Activision,0.33,0.35,0,0.14,0.82,,guitar hero warriors of rock,12
2244,Guitar Hero: Warriors of Rock,wii,2010,Misc,Activision,0.48,0.44,0,0.09,1.01,False,guitar hero warriors of rock,12
1092,Guitar Hero: World Tour,ps2,2008,Misc,Activision,1,0.03,0,0.77,1.8,,guitar hero world tour,12
1014,Guitar Hero: World Tour,ps3,2008,Misc,Activision,1.1,0.56,0,0.27,1.93,,guitar hero world tour,12
419,Guitar Hero: World Tour,wii,2008,Misc,Activision,2.33,0.97,0,0.35,3.65,False,guitar hero world tour,12
10897,Guitar Rock Tour,ds,2007,Misc,Gameloft,0.1,0,0,0.01,0.11,,guitar rock tour,12
14675,Gumby vs. the Astrobots,gba,2005,Action,Namco Bandai Games,0.03,0.01,0,0,0.04,,gumby vs the astrobots,
16350,Gummy Bears Magical Medallion,wii,2011,Platform,Storm City Games,0.02,0,0,0,0.02,False,gummy bears magical medallion,
13853,Gummy Bears Mini Golf,ds,2010,Sports,Storm City Games,0.04,0,0,0,0.05,,gummy bears mini golf,
14809,Gummy Bears Mini Golf,wii,2010,Sports,Unknown,0.04,0,0,0,0.04,False,gummy bears mini golf,3
8554,Gun,gc,2005,Shooter,Activision,0.14,0.04,0,0,0.18,,gun,18
1896,Gun,ps2,2005,Shooter,Activision,0.98,0.04,0,0.16,1.17,,gun,18
4158,Gun,xb,2005,Shooter,Activision,0.38,0.12,0,0.02,0.52,,gun,18
10957,Gun Metal,xb,2002,Shooter,Rage Software,0.08,0.02,0,0,0.11,,gun metal,
13409,Gun Showdown,psp,2006,Action,Activision,0.05,0.01,0,0.01,0.06,,gun showdown,18
8449,GunGriffon,sat,1995,Simulation,Sega,0,0,0.19,0,0.19,,gungriffon,
10615,GunGriffon Blaze,ps2,2000,Simulation,Swing! Entertainment,0.05,0.04,0,0.01,0.11,,gungriffon blaze,
13168,GunGriffon II,sat,1998,Simulation,ESP,0,0,0.06,0,0.06,,gungriffon 2,
15425,GunGriffon: Allied Strike,xb,2004,Simulation,Microsoft Game Studios,0.02,0.01,0,0,0.03,,gungriffon allied strike,12
17700,GunParade Orchestra: Ao no Shou,ps2,2006,Adventure,Sony Computer Entertainment,0,0,0.01,0,0.01,,gunparade orchestra ao no shou,
17048,GunParade Orchestra: Midori no Shou,ps2,2006,Adventure,Sony Computer Entertainment,0,0,0.02,0,0.02,,gunparade orchestra midori no shou,
12883,GunParade Orchestra: Shiro no Shou,ps2,2006,Adventure,Sony Computer Entertainment,0,0,0.07,0,0.07,,gunparade orchestra shiro no shou,
13135,GunPey,psp,2006,Puzzle,Atari,0.05,0,0,0.01,0.06,,gunpey,3
13885,GunPey DS,ds,2006,Puzzle,Atari,0.04,0,0,0,0.05,,gunpey ds,
13110,Gunbird,sat,1995,Shooter,Atlus,0,0,0.06,0,0.06,,gunbird,
18070,Gunbird 2,naomi,2000,,,,,,,0.009,,gunbird 2,
12045,Gunblade NY & L.A. Machineguns Arcade Hits Pack,wii,2010,Shooter,Sega,0.06,0.01,0,0.01,0.08,False,gunblade ny and l a machineguns arcade hits pack,
8766,Gundam Assault Survive,psp,2010,Action,Namco Bandai Games,0,0,0.17,0,0.17,,gundam assault survive,
7582,Gundam Battle Assault,ps,1998,Fighting,Namco Bandai Games,0.13,0.09,0,0.02,0.23,,gundam battle assault,
7734,Gundam Battle Chronicle,psp,2007,Action,Namco Bandai Games,0,0,0.22,0,0.22,,gundam battle chronicle,
14785,Gundam Battle Online,dc,2001,Action,Namco Bandai Games,0,0,0.04,0,0.04,,gundam battle online,
10434,Gundam Battle Royale,psp,2006,Action,Namco Bandai Games,0,0,0.12,0,0.12,,gundam battle royale,
12443,Gundam Battle Tactics,psp,2005,Action,Namco Bandai Games,0,0,0.07,0,0.07,,gundam battle tactics,
7054,Gundam Battle Universe,psp,2008,Fighting,Namco Bandai Games,0,0,0.26,0,0.26,,gundam battle universe,
7026,Gundam Breaker,ps3,2013,Action,Namco Bandai Games,0,0,0.26,0,0.26,,gundam breaker,
11715,Gundam Breaker,psv,2013,Action,Namco Bandai Games,0,0,0.09,0,0.09,,gundam breaker,
9856,Gundam Breaker 2,ps3,2014,Action,Namco Bandai Games,0,0,0.14,0,0.14,,gundam breaker 2,
9468,Gundam Breaker 2,psv,2014,Action,Namco Bandai Games,0,0,0.15,0,0.15,,gundam breaker 2,
10517,Gundam Breaker 3,psv,2016,Action,Namco Bandai Games,0,0,0.12,0,0.12,,gundam breaker 3,
10524,Gundam Memories: Tatakai no Kioku,psp,2011,Action,Namco Bandai Games,0,0,0.12,0,0.12,,gundam memories tatakai no kioku,
4856,Gundam SEED: Federation vs. Z.A.F.T.,ps2,2005,Shooter,Namco Bandai Games,0,0,0.44,0,0.44,,gundam seed federation vs z a f t,
12294,Gundam Seed: Battle Assault,gba,2004,Fighting,Namco Bandai Games,0.06,0.02,0,0,0.08,,gundam seed battle assault,
16270,Gundam Side Story 0079: Rise from the Ashes,dc,1999,,,,,,,0.02,,gundam side story 0079 rise from the ashes,
12632,Gundam Try Age SP,3ds,2014,Strategy,Namco Bandai Games,0,0,0.07,0,0.07,,gundam try age sp,
12208,Gundam the 3D Battle,3ds,2011,Action,Namco Bandai Games,0,0,0.08,0,0.08,,gundam the 3d battle,
9798,Gundam: The Battle Master,ps,1997,Fighting,Namco Bandai Games,0,0,0.13,0.01,0.14,,gundam the battle master,
10274,Gungnir: Mayari no Gunshin to Eiyuu Sensou,psp,2011,Role-Playing,Atlus,0.07,0,0.04,0.01,0.12,,gungnir mayari no gunshin to eiyuu sensou,
8304,Gungrave,ps2,2002,Shooter,Activision,0.09,0.07,0,0.02,0.19,,gungrave,
9833,Gungrave: Overdose,ps2,2004,Shooter,Play It,0.07,0.05,0,0.02,0.14,,gungrave overdose,
18802,Gunhed,pcenginecd,1989,,,,,,,0.003,,gunhed,
19100,Gunship,atarist,1986,,,,,,,0.002,,gunship,
6764,Gunship,ps,1996,Simulation,Microprose,0.15,0.1,0,0.02,0.27,,gunship,
9173,Gunslingers,wii,2010,Shooter,Neko Entertainment,0.08,0.06,0,0.02,0.16,False,gunslingers,
9912,Gunstar Heroes,gen,1992,Shooter,Sega,0,0,0.13,0,0.13,,gunstar heroes,
3409,Gunstar Heroes,gen,1993,,,,,,,0.65,,gunstar heroes,
17178,Gunstar Heroes,gg,1995,,,,,,,0.014,,gunstar heroes,
12658,Gunstar Super Heroes,gba,2005,Shooter,Sega,0.05,0.02,0,0,0.07,,gunstar super heroes,
8811,Gunvalkyrie,xb,2002,Shooter,Infogrames,0.13,0.04,0,0.01,0.17,,gunvalkyrie,
9580,Gyakuten Saiban 2,gba,2002,Action,Capcom,0,0,0.14,0,0.14,,gyakuten saiban 2,
8778,Gyakuten Saiban 3,gba,2004,Adventure,Capcom,0,0,0.16,0,0.17,,gyakuten saiban 3,
1643,Gyromite,nes,1985,Puzzle,Nintendo,0.73,0.16,0.4,0.03,1.32,,gyromite,
17228,Gyruss,atari5200,1984,,,,,,,0.012,,gyruss,
18385,Gyruss,colecovision,1984,,,,,,,0.005,,gyruss,
17616,H2O+: Footprints in the Sand,ps2,2008,Adventure,Kadokawa Shoten,0,0,0.01,0,0.01,,h2o footprints in the sand,
7962,HBO Boxing,ps,2000,Fighting,Acclaim Entertainment,0.12,0.08,0,0.01,0.21,,hbo boxing,
10933,HOP,ds,2011,Platform,505 Games,0.09,0.01,0,0.01,0.11,,hop,7
4209,HSX HyperSonic.Xtreme,ps2,2002,Racing,Midas Interactive Entertainment,0.25,0.2,0,0.07,0.51,,hsx hypersonic xtreme,
13542,Hagane no Renkinjutsushi - Fullmetal Alchemist: Yakusoku no Hi e,psp,2010,Action,Namco Bandai Games,0,0,0.06,0,0.06,,hagane no renkinjutsushi fullmetal alchemist yakusoku no hi e,
14772,Haikyu!! Cross Team Match!,3ds,2016,Adventure,Namco Bandai Games,0,0,0.04,0,0.04,,haikyu cross team match,
12866,Haikyuu!! Tsunage! Itadaki no Keshiki!!,3ds,2014,Adventure,Namco Bandai Games,0,0,0.07,0,0.07,,haikyuu tsunage itadaki no keshiki,
13684,Hail to the Chimp,ps3,2008,Misc,Gamecock,0.05,0,0,0,0.05,,hail to the chimp,3
12971,Hajime no Ippo Portable: Victorious Spirits,psp,2007,Fighting,Grand Prix Games,0,0,0.06,0,0.06,,hajime no ippo portable victorious spirits,
14989,Hajime no Ippo: The Fighting,gba,2002,Fighting,ESP,0,0,0.03,0,0.03,,hajime no ippo the fighting,
15756,Hajime no Ippo: The Fighting! (2014),ps3,2014,Sports,Namco Bandai Games,0,0,0.03,0,0.03,,hajime no ippo the fighting,
15763,Hakuoki Zuisouroku Omokage Hana,psv,2015,Action,Idea Factory,0,0,0.03,0,0.03,,hakuoki zuisouroku omokage hana,
11875,Hakuoki: Demon of the Fleeting Blossom,psp,2009,Adventure,Idea Factory,0.08,0,0,0.01,0.09,,hakuoki demon of the fleeting blossom,
17379,Hakuoki: Reimeiroku - Omouhase Kara,psv,2015,Action,Idea Factory,0,0,0.01,0,0.01,,hakuoki reimeiroku omouhase kara,
17816,Hakuoki: Reimeiroku DS,ds,2012,Action,Idea Factory,0,0,0.01,0,0.01,,hakuoki reimeiroku ds,
16827,Hakuoki: Shinkai - Furi no Shou,psv,2015,Action,Idea Factory,0,0,0.02,0,0.02,,hakuoki shinkai furi no shou,
16037,Hakuoki: Shinkai - Hana no Shou,psv,2016,Adventure,Idea Factory,0,0,0.02,0,0.02,,hakuoki shinkai hana no shou,
14190,Hakuoki: Stories of the Shinsengumi,ps3,2010,Adventure,Idea Factory,0.02,0,0.03,0,0.05,,hakuoki stories of the shinsengumi,16
15094,Hakuouki,ps2,2008,Adventure,Idea Factory,0,0,0.03,0,0.03,,hakuouki,
12454,Hakuouki DS,ds,2010,Adventure,Idea Factory,0,0,0.07,0,0.07,,hakuouki ds,
11379,Hakuouki Portable,psp,2009,Adventure,Idea Factory,0,0,0.1,0,0.1,,hakuouki portable,
13886,Hakuouki SSL: Sweet School Life,psv,2014,Adventure,Idea Factory,0,0,0.05,0,0.05,,hakuouki ssl sweet school life,
13751,Hakuouki: Bakumatsu Musou Roku,psp,2012,Action,Idea Factory,0,0,0.05,0,0.05,,hakuouki bakumatsu musou roku,
14055,Hakuouki: Reimeiroku,ps2,2010,Adventure,Idea Factory,0,0,0.05,0,0.05,,hakuouki reimeiroku,
14355,Hakuouki: Reimeiroku Portable,psp,2011,Adventure,Idea Factory,0,0,0.04,0,0.04,,hakuouki reimeiroku portable,
17339,Hakuouki: Shinsengumi Kitan,ps3,,Adventure,Unknown,0.01,0,0,0,0.01,,hakuouki shinsengumi kitan,
12771,Hakuouki: Yuugi Roku,psp,2010,Adventure,Idea Factory,0,0,0.07,0,0.07,,hakuouki yuugi roku,
16805,Hakuouki: Yuugi Roku DS,ds,2011,Adventure,Idea Factory,0,0,0.02,0,0.02,,hakuouki yuugi roku ds,
13233,Hakuouki: Yuugi Roku Ni - Matsuri Hayashi to Taishitachi,psp,2012,Action,Idea Factory,0,0,0.06,0,0.06,,hakuouki yuugi roku ni matsuri hayashi to taishitachi,
14635,Hakuouki: Zuisouroku,ps2,2009,Adventure,Idea Factory,0,0,0.04,0,0.04,,hakuouki zuisouroku,
14711,Hakuouki: Zuisouroku DS,ds,2011,Adventure,Idea Factory,0,0,0.04,0,0.04,,hakuouki zuisouroku ds,
11724,Hakuouki: Zuisouroku Portable,psp,2010,Adventure,Idea Factory,0,0,0.09,0,0.09,,hakuouki zuisouroku portable,
3620,Half-Life,ps2,2001,Shooter,Vivendi Games,0.29,0.23,0,0.08,0.6,,half life,
3568,Half-Life 2,xb,2005,Shooter,Electronic Arts,0.37,0.21,0,0.03,0.61,,half life 2,16
8668,Half-Minute Hero,psp,2009,Role-Playing,Rising Star Games,0.08,0.02,0.07,0.02,0.18,,half minute hero,12
14753,Half-Minute Hero 2,psp,,Role-Playing,Rising Star Games,0,0,0.04,0,0.04,,half minute hero 2,
3561,Halloween,2600,1982,Action,Wizard Video Games,0.58,0.03,0,0.01,0.62,,halloween,
111,Halo 2,xb,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,,halo 2,
3241,Halo 2 Multiplayer Map Pack,xb,2005,Shooter,Microsoft Game Studios,0.54,0.13,0,0.02,0.69,,halo 2 multiplayer map pack,
9082,Halo Triple Pack,xb,2005,Shooter,Microsoft Game Studios,0.12,0.03,0,0.01,0.16,,halo triple pack,
168,Halo: Combat Evolved,xb,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,,halo combat evolved,
12684,Hammerin' Hero,psp,2008,Action,Irem Software Engineering,0.06,0,0,0.01,0.07,,hammerin hero,
5620,Hamster Club 3,gba,2002,Simulation,Jorudan,0,0,0.35,0.01,0.36,,hamster club 3,
6500,Hamster Club 4: Shigessa Daidassou,gba,2003,Simulation,Jorudan,0,0,0.28,0.01,0.29,,hamster club 4 shigessa daidassou,
9162,Hamster Heroes,wii,2008,Puzzle,Popcorn Arcade,0.16,0,0,0,0.16,False,hamster heroes,3
6348,Hamster Tarou,gb,1999,Simulation,Jorudan,0,0,0.3,0,0.3,,hamster tarou,
4588,Hamsterz Life,ds,2006,Action,Ubisoft,0.43,0.01,0,0.04,0.47,,hamsterz life,
7756,Hamtaro: Ham-Ham Games,gba,2004,Sports,Nintendo,0.16,0.06,0,0,0.22,,hamtaro ham ham games,3
5691,Hamtaro: Ham-Ham Heartbreak,gba,2002,Action,Nintendo,0.26,0.1,0,0.01,0.36,,hamtaro ham ham heartbreak,3
3909,Hamtaro: Ham-Hams Unite!,gbc,2001,Role-Playing,Nintendo,0,0,0.56,0,0.56,,hamtaro ham hams unite,
14542,Hana to Ikimo no Rittai Zukan,3ds,2011,Misc,Nintendo,0,0,0.04,0,0.04,,hana to ikimo no rittai zukan,
16074,Hana to Otome ni Shukufuku o: Harekaze no Okurimono,ps2,2010,Adventure,Alchemist,0,0,0.02,0,0.02,,hana to otome ni shukufuku o harekaze no okurimono,
10378,Hanagumi Taisen Columns,sat,1997,Puzzle,Sega,0,0,0.12,0,0.12,,hanagumi taisen columns,
14815,Hanaoni: Koisomeru Koku - Eikyuu no Shirushi,psp,2011,Adventure,Idea Factory,0,0,0.04,0,0.04,,hanaoni koisomeru koku eikyuu no shirushi,
14393,Hanaoni: Yume no Tsudzuki,psp,2012,Action,Idea Factory,0,0,0.04,0,0.04,,hanaoni yume no tsudzuki,
17392,Hanasaku Manimani,psv,2014,Adventure,5pb,0,0,0.01,0,0.01,,hanasaku manimani,
17740,"Hanayaka Kana, Ware ga Ichizoku",psp,2010,Adventure,Idea Factory,0,0,0.01,0,0.01,,hanayaka kana ware ga ichizoku,
15258,"Hanayaka Kana, Ware ga Ichizoku Twin Pack",psp,2011,Misc,Idea Factory,0,0,0.03,0,0.03,,hanayaka kana ware ga ichizoku twin pack,
15959,"Hanayaka Kana, Ware ga Ichizoku: Tasogare Polarstar",psp,2013,Adventure,Idea Factory,0,0,0.02,0,0.02,,hanayaka kana ware ga ichizoku tasogare polarstar,
17829,Hanayamata: Yosakoi Live,psv,2014,Adventure,Namco Bandai Games,0,0,0.01,0,0.01,,hanayamata yosakoi live,
14470,Hanayori Danshi: Koi Seyo Onago,ds,2008,Adventure,Konami Digital Entertainment,0,0,0.04,0,0.04,,hanayori danshi koi seyo onago,
13579,Handball 16,ps3,2015,Sports,Bigben Interactive,0,0.04,0,0.01,0.05,,handball 16,3
16392,Hands On! Tangrams,ds,2009,Puzzle,Storm City Games,0.02,0,0,0,0.02,,hands on tangrams,
14818,Haneru no Tobira DS: Tanshuku Tetsudou no Yoru,ds,2007,Misc,Namco Bandai Games,0,0,0.04,0,0.04,,haneru no tobira ds tanshuku tetsudou no yoru,
15896,Haneru no Tobira Wii: Girigirissu,wii,2007,Misc,Namco Bandai Games,0,0,0.02,0,0.02,False,haneru no tobira wii girigirissu,
12809,Hang On GP,sat,1995,Racing,Sega,0,0,0.07,0,0.07,,hang on gp,
17114,Hang-On,mastersystem,1985,,,,,,,0.017,,hang on,
18196,Hang-On II,sg1000,1985,,,,,,,0.007,,hang on 2,
5410,Hangman,2600,,Puzzle,Atari,0.35,0.02,0,0,0.38,,hangman,
8735,Hanjuku Eiyuu Tai 3D,ps2,2003,Role-Playing,Square Enix,0,0,0.17,0,0.17,,hanjuku eiyuu tai 3d,
15234,Hankou Shashin,sat,1996,Adventure,Imagineer,0,0,0.03,0,0.03,,hankou shashin,
670,Hannah Montana,ds,2006,Action,Disney Interactive Studios,1.59,0.8,0,0.26,2.65,,hannah montana,3
1310,Hannah Montana: Music Jam,ds,2007,Action,Disney Interactive Studios,1.06,0.37,0,0.15,1.58,,hannah montana music jam,3
9140,Hannah Montana: Rock Out the Show,psp,2009,Misc,Disney Interactive Studios,0.13,0.01,0,0.02,0.16,,hannah montana rock out the show,3
6723,Hannah Montana: Spotlight World Tour,ps2,2008,Action,Disney Interactive Studios,0.12,0.02,0,0.14,0.28,,hannah montana spotlight world tour,3
1548,Hannah Montana: Spotlight World Tour,wii,2007,Action,Disney Interactive Studios,0.87,0.38,0,0.13,1.39,False,hannah montana spotlight world tour,3
3202,Hannah Montana: The Movie,ds,2009,Adventure,Disney Interactive Studios,0.38,0.25,0,0.07,0.7,,hannah montana the movie,3
7579,Hannah Montana: The Movie,ps3,2009,Adventure,Disney Interactive Studios,0.14,0.06,0,0.03,0.23,,hannah montana the movie,3
5715,Hannah Montana: The Movie,wii,2009,Adventure,Disney Interactive Studios,0.13,0.18,0,0.04,0.35,False,hannah montana the movie,3
